NOC,Medal2
BRN,1
BDI,1
CRC,1
CIV,1
ECU,1
HAI,1
HKG,1
IOA,1
GRN,1
ISR,1
KOS,1
JOR,1
PER,1
PUR,1
PAN,1
MOZ,1
SGP,1
SUR,1
TJK,1
SYR,1
UAE,1
VIE,1
VEN,2
MGL,2
ARM,2
UGA,2
TPE,3
TUN,3
DOM,3
LAT,3
CHI,3
LUX,4
POR,4
ALG,5
COL,5
LTU,6
MAR,6
SLO,6
AZE,7
EGY,7
TTO,7
GEO,8
EST,9
IRL,9
UZB,9
THA,9
INA,11
SCG,12
SVK,13
FIJ,13
BAH,14
SRB,15
CZE,15
PRK,16
ZIM,17
IRI,18
BLR,18
KAZ,19
ANZ,20
CMR,20
ETH,22
NGR,23
AUT,29
MEX,30
URU,31
RSA,32
KEN,34
JAM,38
TUR,40
UKR,42
PAK,42
BUL,53
CRO,54
GRE,62
TCH,79
NZL,90
ARG,91
EUN,92
BEL,96
SUI,99
BRA,109
ESP,109
POL,111
YUG,130
IND,131
FIN,132
FRG,144
CAN,158
ROU,161
CUB,164
KOR,171
DEN,179
NOR,227
JPN,230
NED,245
RUS,296
CHN,334
GDR,339
AUS,342
SWE,354
HUN,432
FRA,465
ITA,518
GER,592
GBR,636
URS,832
USA,2472
